"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"6"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	122	12	128.5	29.3	1.7	NA	NA	49
"6"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	182	25	137.2	25.8	1.5	NA	NA	79
"6"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	92	18	143.9	27.8	1	680	3837	42
"6"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	120	27	153.5	23.7	0.9	686	3425	60
"7"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	142	17	111.7	33.2	1.5	NA	NA	56
"7"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	166	13	120.1	30.3	1.2	NA	NA	57
"7"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	128	18	118.8	30.6	1	366	1259	50
"7"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	119	13	159.2	30.5	1.1	536	1632	45
"1"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	144	23	124.3	43.8	1.6	NA	NA	93
"1"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	124	16	125.6	45.4	1.5	NA	NA	88
"1"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	122	18	129.3	43.6	1.7	732	3569	75
"1"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	184	34	136.6	40.7	1.7	757	3566	126
"8"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	103	4	103.9	34.4	1.7	NA	NA	38
"8"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	116	9	123.9	25	1.4	NA	NA	32
"8"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	139	2	96.4	37	0.5	988	3500	19
"8"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	141	6	112.6	30.1	0.4	876	3374	30
"2"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	119	6	103.4	34.1	1.4	NA	NA	29
"2"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	108	7	107.2	34.5	1.3	NA	NA	20
"2"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	132	10	122.8	33.6	2.3	1025	3887	42
"2"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	98	12	123.2	31.4	1.8	1071	4005	35
"9"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	76	23	134.4	50.2	1.8	NA	NA	40
"9"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	145	7	144.2	44.3	2	NA	NA	77
"9"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	122	17	147	39.9	2	1014	3583	55
"9"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	143	22	155.4	43.9	2.2	973	3265	64
"3"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	142	1	68.1	38.8	0.5	NA	NA	23
"3"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	119	1	70.6	24.6	0.3	NA	NA	41
"3"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	104	1	64.2	32.1	0	1076	4889	37
"3"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	104	0	72.5	40.3	1.4	1083	4726	24
"4"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	158	13	111.3	44.8	1.4	NA	NA	94
"4"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	116	20	134.6	36.4	1.6	NA	NA	65
"4"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	115	44	98.8	40.6	1.4	1016	3945	69
"4"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	193	10	135.5	36.3	1.8	1118	3999	136
"5"	NA	"control"	"SW"	"30"	"a"	"2"	NA	NA	NA	152	10	113.3	38.6	1.7	NA	NA	88
"5"	NA	"control"	"SW"	"30"	"a"	"1"	NA	NA	NA	122	15	118.8	42.1	1.6	NA	NA	65
"5"	NA	"control"	"SW"	"90"	"a"	"2"	NA	NA	NA	136	33	147.7	30	1.6	535	2687	78
"5"	NA	"control"	"SW"	"90"	"a"	"1"	NA	NA	NA	136	30	154	28.5	1.4	451	2463	81
